Sangati S.A,25 t/h,"Rosca molhadora de trigo , Completa com Motor "
Vectra ,25 t/h,"Balança de fluxo de trigo, como Moegas de Alimentação e Saída"
Buhler  ,10 t/h,Polidora de trigo
Buhler  ,10 t/h,Polidora de trigo
Buhler ,Sem capacidade,Conjunto de 15 esclusas (válvulas Rotativas ) – Diversos tamanhos e diâmetros 
 Bernauer,"8,5 t/h de trigo moído ",Ventilador pneumático de alta pressão Com base e motor WEG de 150 cv
Bernauer  ,/ volume: 240 m³/min,Ventilador de aspiração de baixa pressão  Com motor WEG de 20 cv
Bernauer,"4,2 t/h de trigo moído ",Ventilador pneumático de alta pressão Com motor WEG de 75 cv
?,100 m³/min,Ventilador de aspiração de baixa pressão 
Coppi  Altura 20 metros  ,10 t/h,"Elevador  de canecas  duplo Para trigo e outros cereais , Completo com Moto-Redutor  "
Sangati ,10 t/h,Polidora de trigo com  Canal de aspiração completa com motor
Sangati ,Para um moinho de até 150 t/dia.  ,"Conjunto de sistema pneumático completo contendo:  Esclusas ( válvulas rotativas ), ciclonetes, visores, Moto-redutores, tubos, curvas, luvas , Ventilador Bernauer com Motor de 150 cv , Silenciador de Ruídos . "
?,volume: 240 m³/min ,Ventilador de aspiração de baixa pressão 
Buhler,?,Filtro  de baixa pressão 
Sangati,10 ton/h,Turbo peneira de farinhas
Robuschi RBS 15 com rewervatório w sistema de segurança,?,Soprador  de ar 
?,?,"tripla  10 ton/h Comprimento 7,5 metros diâmetro 220 mm , Com moto-redutor "
Buhler ,24 mangas/120/2600mm,Filtro  de alta pressão 
Coppi,Diametro Linha 150 mm,Filtro  de alta pressão 
Coppi,?,Válvula diversora para transporte pneumático
Coppi,,Válvula  diversora para transporte pneumático
"Buhler , com motor",Com Motor 28 peneiras/compartimentos,02 x Plansifter modelo MPAG 6/25 Sistema de Alto Rendimento
Zaccaria,"5,0 ton/h",02 x Turbo Peneira Vertical 
Buhler,?,02 x Plansifter  modelo MPAG  8/25
Buhler,5 ton/h,Vibro centrifuga modelo MKVA
Buhler,5 ton/h,4 x Escovadeiras de farelo MKLA
Vectra,15 ton/h,"02 x Balança de Fluxo de trigo , completa com moega de alimentação "
Sangati S.A,25 ton/h,Separador de Peneiras VS-150 com Canal de Aspiração
Buhler ,24/120mm/2600mm,Filtro de baixa pressão 
,10 ton/h,Rosca  em Aço Inox  Diâmetro 300mm  Comprimento 5000mm
Sangati S.A.,"5,0 ton/h",Turbo Peneira + Imã para segurança de farinha de trigo / milho 
Coppi,Diâmetro de Linha 150 mm ,Válvula diversora para transporte pneumático 
Coppi,Diâmetro de Linha 150 mm ,Válvula diversora para transporte pneumático
,10 ton/h,"Rosca  em Aço Inox Diâmetro 280 mm Comprimento 4000 mm , com 03 Valvulas em Inox e Motoredutor "
Coppi,Diâmetro de Linha 150 mm,Válvula Diversora para Transporte Pneumático
Sangati S.A.,,Filtro de mangas 38/15/250 Extrator fundo plano com motoredutor
Coppi ,10 ton/h,Fundo extrator de silo
Sangati,?,Filtro  de mangas 60/15/250
Sangati S.A.,?,05 x Escovadeira de farelo 
?,"6,5 / 4,0 / 4,0 ton/h",Rosca tripla 220/6000mm com Motoredutor 
?,"6,5;4,0;4,0 t/h",Rosca tripla 220/6000 mm Com Motoredutor
Sangati S.A., 25 t/h,Gravity Selector ( Saca Pedras ) Mod. T30 Completo com Ventilador
Coppi ,?,Dosador para filtro de mangas com Moto-Vibrador
Sangati,?,"Dosador para filtro de mangas , com Moto-Vibrador"
SIMON ( England ),,"14 x Bancos de Cilindros 04 x 1000 x 250 mm , Semi automáticos Mod. Simon G"
Sangati,25 ton/h,Polidora de trigo com  canal de aspiração
Ocrim Itália,1000-3000 kg/h,Purificador de Sêmola (Sassor)
PingLe (China),800-2800 kg/h,PURIFICADOR DE SÊMOLA  (SASSOR)
Sangati S.A.,?,DOSADOR PARA FILTRO DE MANGAS 
Coppi,?,Filtro de mangas de alta pressão 24/120/2600
 Sangati," 6,5 ton/h ",Turbo Peneira + Imã  para segurança de farinha de trigo / milho
 Nagema (GMB ),?,02 x Bancos de cilindros 4x1000 x250 mm
 rokop ( Rep. Tcheca ,?,"03 x Bancos de cilindros 4x1000/250 mm , Semi Automático"
Sangati GBS Itália B1/B2 – R1 / R2 ,?,01 Banco de cilindros Duplo  8 x 1250 x 250  mm Mod. Synthesis
Buhler,?,03 x Bancos de cilindros 4 x1000 x 250 mm
 SIMON  ( England ),?,08 x Bancos de cilindros Simon 4 x 1000 x 250 mmParte Interna revestida em Inox – Semi Automáticos
Buhler ( Suiça ),25 ton/h ,Unidade Controladora de Umidade de Trigo Modelo MYFC e Dosador Automático MOZF 
Lonigo,250 sacos/hora,"Ensacadora  para sacos de 50 kg , Completa com Moegas de Alimentação , Esteiras "
Buhler-Miag,?,"06 x Desagregadores Centrífugos 7,5 cv"
Buhler -Miag,?,08 x Destacadores  a tambor Completo com Motor 
Sangati S.A.,?,"04 x Desagregadores Centrífugos Motor 7,5 cv "
Sangati S.A.,?,"10 x Desagregadores a tambor , Completos com Motor "
Pingle (China ) R1/R1B / C2/C3,?,02 x Bancos de cilindros Ping Le Automáticos  4x 1000 x250 mm 
Ocrim ( Itália ) ,?,01 Banco de cilindros Ocrim Automático  4x 1000 x250 mm 
Ocrim (Itália ),B1 ( 200 ton/dia ),Banco de cilindros Ocrim  Mod. Lam CS 4x1000x250 mm Automático
Sangati,C1 ( 200 ton/dia ),01 x Banco de cilindros Sangati Mod. Auto/ROE 4x1000x250 mm Automático – Retrofit Completo
Buhler,28 peneiras / porta,01 x Plansifter  MPAG 6/28 Alto Rendimento – RetroFit Completo
Coppi,33600 m³/h,Ventilador  de baixa pressão Completo com Motor  
500 kg/h,500 kg/h,Filtro de mangas  65/150 mm /2500 mm 